Day,Volume (In Mn.),Value (In Cr.)
2023-04-03,291.23,67174.84
2023-04-04,302.63,55131.41
2023-04-05,305.56,55523.66
2023-04-06,300.37,53108.05
2023-04-07,299.68,49096.83
2023-04-08,305.96,45972.66
2023-04-09,296.11,38971.53
2023-04-10,306.64,57032.84
2023-04-11,293.41,51142.19
2023-04-12,317.35,52628.2
2023-04-13,302.54,48837.58
2023-04-14,292.16,41334.68
2023-04-15,303.7,45867.37
2023-04-16,290.29,35944.36
2023-04-17,292.1,48059.75
2023-04-18,289.58,45994.08
2023-04-19,295.17,46337.61
2023-04-20,301.55,47613.07
2023-04-21,302.47,46341.28
2023-04-22,281.49,37244.28
2023-04-23,277.06,32251.65
2023-04-24,281.92,44918.84
2023-04-25,281.19,44390.27
2023-04-26,286.05,44656.69
2023-04-27,286.51,44563.42
2023-04-28,294.06,48699.12
2023-04-29,309.85,52690.23
2023-04-30,296.43,42803.02
2023-05-01,310.57,56109.02
2023-05-02,309.65,57673.1
2023-05-03,309.12,54740.39
2023-05-04,302.78,55434.84
2023-05-05,312.75,53729.76
2023-05-06,319.68,53437.16
2023-05-07,309.43,41902.53
2023-05-08,310.36,54789.08
2023-05-09,311.97,53279.57
2023-05-10,313.28,52894.17
2023-05-11,308.55,50019.11
2023-05-12,309.38,48240.66
2023-05-13,309.55,44730.46
2023-05-14,306.2,37468.83
2023-05-15,309.11,51693.49
2023-05-16,303.06,48266.02
2023-05-17,297.9,46493.98
2023-05-18,301.23,46334.97
2023-05-19,301.29,44503.43
2023-05-20,310.53,46688.26
2023-05-21,289.76,34744.2
2023-05-22,290.42,46610.35
2023-05-23,295.7,45016.09
2023-05-24,299.02,45428.85
2023-05-25,289.9,45736.15
2023-05-26,300.22,44385.37
2023-05-27,291.67,41936.74
2023-05-28,297.08,33637.03
2023-05-29,293.38,46315.4
2023-05-30,288.99,47998.33
2023-05-31,312.66,58908.11
2023-06-01,325.62,62898.87
2023-06-02,326.26,57644.81
2023-06-03,323.21,54799.2
2023-06-04,311.99,45018.03
2023-06-05,321.19,59403.41
2023-06-06,315.73,54850.16
2023-06-07,326.0,56073.86
2023-06-08,317.81,52908.79
2023-06-09,319.37,52262.0
2023-06-10,322.95,51283.62
2023-06-11,311.61,39593.49
2023-06-12,314.64,53040.32
2023-06-13,312.41,50385.35
2023-06-14,314.04,50450.73
2023-06-15,310.8,49745.39
2023-06-16,311.93,46355.7
2023-06-17,312.08,45835.99
2023-06-18,301.35,35234.45
2023-06-19,309.95,49499.42
2023-06-20,307.4,48407.3
2023-06-21,307.13,47664.33
2023-06-22,304.5,46704.89
2023-06-23,302.34,45579.36
2023-06-24,300.63,42935.74
2023-06-25,294.73,35147.31
2023-06-26,302.22,48619.69
2023-06-27,299.96,47516.37
2023-06-28,313.7,49897.31
2023-06-29,280.6,37961.22
2023-06-30,312.9,57747.14
2023-07-01,339.54,61917.81
2023-07-02,329.22,47229.91
2023-07-03,328.96,59189.38
2023-07-04,330.44,59449.73
2023-07-05,331.28,59459.28
2023-07-06,325.69,56399.5
2023-07-07,329.82,55271.86
2023-07-08,326.48,50571.15
2023-07-09,319.54,41980.62
2023-07-10,331.8,60484.85
2023-07-11,326.67,53967.69
2023-07-12,331.47,53590.28
2023-07-13,323.75,50613.67
2023-07-14,322.6,47947.78
2023-07-15,317.56,47729.74
2023-07-16,320.87,38071.82
2023-07-17,317.03,48124.93
2023-07-18,311.71,46846.49
2023-07-19,315.44,47849.69
2023-07-20,315.38,47608.52
2023-07-21,315.28,45577.5
2023-07-22,313.69,42238.88
2023-07-23,309.31,34416.57
2023-07-24,311.0,48206.15
2023-07-25,307.95,46984.69
2023-07-26,310.76,46067.18
2023-07-27,314.06,45734.03
2023-07-28,315.23,46273.69
2023-07-29,316.71,42690.11
2023-07-30,317.21,36936.18
2023-07-31,337.79,64106.76
2023-08-01,355.25,66969.23
2023-08-02,345.69,62307.11
2023-08-03,348.57,59287.21
2023-08-04,344.79,57716.61
2023-08-05,356.24,57820.12
2023-08-06,298.81,36438.5
2023-08-07,359.11,63298.71
2023-08-08,349.24,55950.61
2023-08-09,350.34,56345.84
2023-08-10,354.79,57156.72
2023-08-11,353.39,53813.39
2023-08-12,352.68,48703.92
2023-08-13,342.72,38677.49
2023-08-14,353.37,54501.9
2023-08-15,328.46,39607.89
2023-08-16,340.16,50036.67
2023-08-17,332.28,49839.67
2023-08-18,337.3,48000.66
2023-08-19,335.2,47379.98
2023-08-20,335.69,38720.84
2023-08-21,334.74,50543.5
2023-08-22,327.29,47968.58
2023-08-23,331.44,47616.87
2023-08-24,335.05,47858.74
2023-08-25,331.04,46491.48
2023-08-26,338.15,45179.66
2023-08-27,332.83,36874.21
2023-08-28,339.64,51900.82
2023-08-29,341.35,51131.17
2023-08-30,356.13,50318.3
2023-08-31,344.26,58080.14
2023-09-01,365.53,66251.46
2023-09-02,367.4,61319.8
2023-09-03,351.9,48259.6
2023-09-04,360.87,65160.82
2023-09-05,359.59,62292.52
2023-09-06,361.96,59538.75
2023-09-07,353.96,56509.07
2023-09-08,350.58,55244.15
2023-09-09,356.51,52442.49
2023-09-10,355.19,43863.43
2023-09-11,357.12,58890.66
2023-09-12,356.76,57361.62
2023-09-13,355.11,55420.78
2023-09-14,353.3,52948.4
2023-09-15,361.94,52463.74
2023-09-16,359.37,51457.19
